datetime,epoch,ghost_index,ghost_type,dist_ghost_pips,atr,body_atr,upper_wick_atr,lower_wick_atr,rsi,close_ret1_atr,close_ret5_atr,close_ret15_atr,vol,vol_ema9,vol_ratio,dist_sh5_above,dist_sl5_below,n_sh5_near,n_sl5_near,dist_sh10_above,dist_sl10_below,dist_bsl_above,dist_ssl_below,dist_bos_above,dist_bos_below,dist_fvg_above,dist_fvg_below,dist_ob_above,dist_ob_below,dist_fib_pips,zz_high_dist_pips,zz_low_dist_pips,traces_3m,traces_5m,traces_10m,traces_15m
2026-07-10T08:00:00-05:00,1783688400,9877,0.0000,-52.0000,12.4379,0.4824,0.3216,0.2412,39.48,0.5226,-1.9899,-1.8090,295.00,197.54,1.4934,3,4,140.00,141.00,44.00,4.00,1.00,0.00,3.00,0.00,10.00,4.50,12.50,1.50,141,628,9,3,5,10,15
2026-07-10T09:00:00-05:00,1783692000,9936,1.0000,-76.0000,30.5519,0.1637,0.5482,0.1227,53.47,-0.1718,-0.1718,1.4238,1525.00,1395.83,1.0925,3,5,76.00,57.00,76.00,332.00,1.00,2.00,20.00,2.00,1.00,2.00,0.50,1.50,46,183,454,3,5,10,15
2026-07-10T10:25:00-05:00,1783697100,10009,1.0000,188.0000,26.0810,0.4218,0.5176,0.0096,70.72,0.4505,0.6997,3.2207,1234.00,889.13,1.3879,4,0,999.00,720.00,24.00,214.00,2.00,2.00,4.00,7.00,1.00,1.50,2.00,4.50,122,14,623,3,5,10,15
2026-07-10T13:30:00-05:00,1783708200,10198,0.0000,71.0000,10.7857,0.3477,0.0464,0.3940,52.45,0.2781,-0.9040,0.6722,314.00,459.17,0.6838,5,3,37.00,44.00,66.00,71.00,1.00,8.00,4.00,20.00,18.00,20.50,6.00,4.50,588,342,1496,0,0,1,1
2026-07-10T14:10:00-05:00,1783710600,10225,1.0000,-68.0000,9.2430,0.0541,0.5139,0.4598,49.23,-0.0270,-2.0015,0.7032,432.00,459.30,0.9406,5,4,3.00,62.00,68.00,69.00,3.00,4.00,3.00,18.00,20.00,18.50,8.00,2.50,586,340,1494,0,0,0,0
2026-07-12T18:08:00-05:00,1783897680,10415,1.0000,-49.0000,10.7931,0.6022,0.0232,0.2316,47.68,-0.3706,-0.1390,0.2780,34.00,79.32,0.4286,4,4,22.00,46.00,49.00,81.00,2.00,1.00,2.00,1.00,4.50,1.00,7.50,0.50,62,743,868,0,0,0,0
2026-07-12T19:07:00-05:00,1783901220,10480,1.0000,331.0000,21.1623,0.7088,0.5552,0.1181,72.06,-0.7442,1.3349,4.8908,432.00,434.70,0.9938,3,1,999.00,422.00,305.00,437.00,7.00,0.00,19.00,6.00,4.50,11.50,6.50,0.50,42,387,1224,3,5,10,15
2026-07-12T20:58:00-05:00,1783907880,10575,1.0000,-382.0000,17.9032,0.1117,0.1257,0.4608,36.85,0.1676,0.1536,-3.3514,331.00,334.05,0.9909,0,2,359.00,999.00,359.00,999.00,2.00,4.00,7.00,5.00,1.00,1.50,6.00,10.50,66,1297,314,0,0,0,0
2026-07-12T20:58:00-05:00,1783907880,10587,0.0000,-142.0000,17.9032,0.1117,0.1257,0.4608,36.85,0.1676,0.1536,-3.3514,331.00,334.05,0.9909,0,2,359.00,999.00,359.00,999.00,2.00,4.00,7.00,5.00,1.00,1.50,6.00,10.50,66,1297,314,3,5,10,15
2026-07-13T03:19:00-05:00,1783930740,10959,1.0000,191.0000,13.0032,0.4999,0.4230,0.0385,67.16,-0.6152,1.0767,3.6722,121.00,170.92,0.7079,3,0,999.00,281.00,999.00,324.00,12.00,0.00,12.00,0.00,3.00,21.50,4.50,3.00,117,1440,700,3,5,10,15
2026-07-13T08:52:00-05:00,1783950720,11309,0.0000,-442.0000,35.9635,0.5144,0.2920,0.0556,35.53,0.5214,-0.8967,-2.2036,1599.00,2025.71,0.7894,0,2,787.00,19.00,787.00,90.00,2.00,4.00,30.00,4.00,5.00,17.50,12.00,26.00,251,1037,9,3,5,10,15
2026-07-13T17:11:00-05:00,1783980660,11728,1.0000,69.0000,11.3831,0.3953,0.0439,0.1098,54.36,-0.6808,-1.0103,1.5593,42.00,97.38,0.4313,3,4,87.00,127.00,87.00,13.00,4.00,0.00,4.00,1.00,9.00,1.00,3.50,20.50,582,1368,340,3,5,10,15
2026-07-13T18:06:00-05:00,1783983960,11797,0.0000,-156.0000,9.8582,0.0507,0.1014,0.3297,34.08,0.1522,-0.8369,-4.7169,51.00,122.84,0.4152,1,2,71.00,60.00,211.00,3.00,1.00,0.00,1.00,3.00,2.00,11.50,6.00,8.00,864,1650,622,3,5,10,15
2026-07-13T18:44:00-05:00,1783986240,11831,0.0000,-132.0000,9.8630,0.4056,0.4056,0.4816,24.01,-0.4816,-2.0785,-3.3459,138.00,142.02,0.9717,1,4,183.00,999.00,262.00,999.00,4.00,6.00,30.00,14.00,5.50,2.50,5.00,0.50,1078,1864,836,3,5,9,10
2026-07-13T19:28:00-05:00,1783988880,11880,1.0000,-224.0000,27.9776,0.3128,0.0626,0.6076,46.70,-0.3485,-0.5898,-1.7782,254.00,244.38,1.0394,4,5,219.00,109.00,12.00,12.00,1.00,5.00,5.00,5.00,7.00,5.50,5.00,13.00,828,1614,586,0,1,6,9
